index,가게명,음식종류,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,양이 많아요,재료가 신선해요,특별한 메뉴가 있어요,매장이 넓어요,매장이 청결해요,인테리어가 멋져요,특별한 날 가기 좋아요,단체모임 하기 좋아요,메뉴 구성이 알차요,아늑해요,음식이 빨리 나와요,주차하기 편해요,화장실이 깨끗해요,뷰가 좋아요,음료가 맛있어요,아이와 가기 좋아요,잡내가 적어요,반려동물과 가기 좋아요,룸이 잘 되어있어요,오래 머무르기 좋아요,환기가 잘 돼요,차분한 분위기에요,코스요리가 알차요,비싼 만큼 가치있어요,반찬이 잘 나와요,대화하기 좋아요,건강한 맛이에요,음악이 좋아요,좌석이 편해요,사진이 잘 나와요,현지 맛에 가까워요,고기 질이 좋아요,샐러드바가 잘 되어있어요,혼술하기 좋아요,향신료가 강하지 않아요,야외공간이 멋져요,컨셉이 독특해요,포장이 깔끔해요,술이 다양해요,직접 잘 구워줘요,커피가 맛있어요,디저트가 맛있어요,기본 안주가 좋아요,집중하기 좋아요,빵이 맛있어요,태그 총합,FoodCategory
31,부암동치킨,"치킨,닭강정",197,35,3,53,51,46,28,17,21,15,4,31,1,3,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,한식
33,뜸들이다 숙대점,한식,112,31,82,34,10,20,27,1,27,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,한식
35,더함,한식,294,89,14,116,91,152,71,108,60,47,36,128,27,3,2,5,3,3,0,0,1,0,3,2,0,10,5,2,16,9,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,한식
36,홍짜장 숙대점,중식당,108,59,72,43,28,27,16,1,28,1,0,1,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,862,중식
37,무모한초밥 숙명여대점,"초밥,롤",137,118,59,80,49,51,16,4,37,4,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,일식
38,마시앤바시,양식,172,45,0,55,37,13,81,0,18,33,7,2,1,3,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,26,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,1122,양식
39,긴자료코 숙대점,돈가스,753,227,329,192,461,131,129,13,57,25,5,7,6,4,2,4,3,5,0,0,1,0,0,0,0,2,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4806,육류
40,홍곱창 숙명여대점,"곱창,막창,양",346,65,11,110,58,29,83,13,41,2,14,20,2,1,2,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,1738,육류
41,이자와 숙대점,일식당,149,9,48,47,19,30,34,11,18,7,7,3,2,2,1,3,1,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,884,일식
42,타코비 숙명여대점,일식당,163,38,9,78,9,30,30,1,9,2,6,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,860,일식
44,비일,양식,192,33,3,89,34,46,84,5,22,34,33,7,0,3,2,1,5,1,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,양식
45,베나레스 숙대점,인도음식,1188,508,161,294,477,291,86,476,145,129,21,80,108,34,21,5,15,15,0,2,0,0,0,2,0,26,3,1,0,0,33,0,4,0,243,0,0,0,66,2,0,0,0,0,0,0,0,0,0,8962,아시안음식
46,샤브로21 숙명여대,샤브샤브,688,288,447,283,70,522,38,50,168,299,1,3,59,68,8,0,9,0,1,0,0,0,1,0,1,37,0,1,8,4,107,0,1,1,0,5,0,2,0,1,4,1,1,0,0,0,0,2,0,6450,한식
47,나폴리키친,피자,333,152,16,143,85,103,64,17,27,37,25,44,7,12,3,0,2,22,0,1,0,0,0,0,0,10,2,0,2,8,3,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2342,양식
48,어바웃샤브 숙명여대점,샤브샤브,232,89,17,61,69,97,16,31,19,2,8,27,1,1,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,한식
49,백채김치찌개 숙대입구점,"찌개,전골",257,104,0,76,137,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,한식
50,본죽&비빔밥cafe 숙대입구역점,죽,246,0,109,105,81,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,한식
51,만나칼국수,"칼국수,만두",428,129,137,0,191,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,한식
52,교촌치킨 숙대점,"치킨,닭강정",372,0,0,96,0,56,0,120,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,한식
54,까치네분식,종합분식,692,305,218,208,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350,분식
55,메이드바이그레이스,샌드위치,0,0,0,72,0,0,60,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,81,668,양식
56,버거인,햄버거,402,0,85,112,0,161,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,양식
57,츄르츄르라멘,일본식라면,350,114,166,91,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,일식
58,레이브피자,피자,389,0,0,170,0,0,145,0,131,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,양식
59,김밥2000,김밥,69,31,0,23,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,한식
61,굴다리소곱창,한식,195,0,0,59,16,59,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,육류
62,두리식당,한식,43,31,16,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,한식
63,한입소반,김밥,3077,421,0,0,784,892,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12738,한식
64,산촌신쭈꾸미 숙대입구점,주꾸미요리,172,33,40,0,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,한식
65,쌍대포소금구이 본점,돼지고기구이,578,0,0,198,0,0,172,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,육류
66,상록수,"육류,고기요리",666,0,0,201,0,90,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,3272,육류
67,스시 사이꼬,"초밥,롤",216,76,0,82,56,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,일식
68,써브웨이 숙명여대점,샌드위치,398,0,159,125,141,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310,샐러드
