index,가게명,가성비가 좋아요,건강한 맛이에요,고기 질이 좋아요,기본 안주가 좋아요,단체모임 하기 좋아요,대화하기 좋아요,디저트가 맛있어요,룸이 잘 되어있어요,매장이 넓어요,매장이 청결해요,메뉴 구성이 알차요,반려동물과 가기 좋아요,반찬이 잘 나와요,뷰가 좋아요,비싼 만큼 가치있어요,빵이 맛있어요,사진이 잘 나와요,샐러드바가 잘 되어있어요,선물하기 좋아요,술이 다양해요,아늑해요,아이와 가기 좋아요,야외공간이 멋져요,양이 많아요,오래 머무르기 좋아요,음료가 맛있어요,음식이 맛있어요,음식이 빨리 나와요,음식종류,음악이 좋아요,인테리어가 멋져요,잡내가 적어요,재료가 신선해요,종류가 다양해요,좌석이 편해요,주문제작을 잘해줘요,주차하기 편해요,직접 잘 구워줘요,집중하기 좋아요,차가 맛있어요,차분한 분위기에요,친절해요,커피가 맛있어요,컨셉이 독특해요,코스요리가 알차요,태그 총합,특별한 날 가기 좋아요,특별한 메뉴가 있어요,포장이 깔끔해요,향신료가 강하지 않아요,현지 맛에 가까워요,혼밥하기 좋아요,혼술하기 좋아요,화장실이 깨끗해요,환기가 잘 돼요
18,정,117.0,3.0,1.0,0.0,51.0,4.0,1.0,0.0,49.0,49.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,98.0,0.0,1.0,640.0,13.0,중식당,0.0,13.0,1.0,123.0,,0.0,,3.0,0.0,0.0,,3.0,186.0,1.0,1.0,0.0,3404.0,23.0,217.0,0.0,0.0,0.0,68.0,0.0,7.0,0.0
19,지지고 숙명여대점,296.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,202.0,0.0,0.0,403.0,7.0,"도시락,컵밥",0.0,1.0,0.0,84.0,,0.0,,2.0,1.0,0.0,,0.0,74.0,0.0,0.0,0.0,2748.0,2.0,64.0,3.0,0.0,0.0,193.0,0.0,0.0,0.0
20,이삭토스트 숙명여대점,162.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,0.0,0.0,320.0,87.0,토스트,0.0,1.0,0.0,84.0,,0.0,,0.0,0.0,0.0,,0.0,175.0,0.0,0.0,0.0,2018.0,0.0,36.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0
21,리또리또 숙대점,232.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,13.0,3.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,192.0,0.0,0.0,443.0,5.0,"멕시코,남미음식",0.0,4.0,0.0,69.0,,0.0,,1.0,0.0,0.0,,0.0,158.0,0.0,0.0,0.0,2896.0,5.0,77.0,0.0,1.0,0.0,194.0,0.0,1.0,0.0
23,미스터카츠 숙대입구점,201.0,2.0,5.0,0.0,11.0,7.0,0.0,0.0,26.0,114.0,21.0,1.0,2.0,51.0,1.0,0.0,0.0,0.0,,0.0,24.0,1.0,1.0,240.0,1.0,0.0,638.0,7.0,돈가스,3.0,46.0,4.0,172.0,,1.0,,1.0,0.0,0.0,,10.0,214.0,0.0,0.0,0.0,4420.0,2.0,67.0,0.0,0.0,0.0,300.0,0.0,8.0,5.0
24,하마,20.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.0,0.0,0.0,78.0,1.0,"백반,가정식",0.0,2.0,0.0,14.0,,0.0,,0.0,0.0,0.0,,1.0,13.0,0.0,0.0,0.0,498.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0
28,숙대소반,118.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,17.0,15.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,97.0,0.0,0.0,196.0,0.0,한식,0.0,3.0,0.0,16.0,,0.0,,4.0,0.0,0.0,,0.0,71.0,0.0,0.0,0.0,1430.0,4.0,18.0,0.0,0.0,0.0,113.0,0.0,1.0,0.0
31,부암동치킨,35.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,17.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,51.0,0.0,0.0,197.0,0.0,"치킨,닭강정",0.0,15.0,0.0,46.0,,0.0,,4.0,0.0,0.0,,0.0,53.0,0.0,0.0,0.0,1100.0,4.0,28.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0
33,뜸들이다 숙대점,31.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,112.0,0.0,한식,0.0,3.0,0.0,20.0,,0.0,,0.0,0.0,0.0,,0.0,34.0,0.0,0.0,0.0,766.0,0.0,27.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0
35,더함,89.0,34.0,1.0,0.0,128.0,9.0,0.0,3.0,108.0,60.0,27.0,0.0,16.0,3.0,2.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,91.0,2.0,0.0,294.0,2.0,한식,0.0,47.0,1.0,152.0,,0.0,,5.0,0.0,0.0,,10.0,116.0,0.0,0.0,5.0,2736.0,36.0,71.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0
36,홍짜장 숙대점,59.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,0.0,0.0,108.0,3.0,중식당,0.0,1.0,1.0,27.0,,0.0,,1.0,0.0,0.0,,0.0,43.0,0.0,0.0,0.0,862.0,0.0,16.0,1.0,0.0,0.0,72.0,0.0,1.0,0.0
37,무모한초밥 숙명여대점,118.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,49.0,0.0,0.0,137.0,0.0,"초밥,롤",0.0,4.0,0.0,51.0,,0.0,,0.0,0.0,0.0,,0.0,80.0,0.0,0.0,0.0,1196.0,1.0,16.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0
38,마시앤바시,45.0,0.0,0.0,13.0,2.0,26.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,7.0,3.0,0.0,0.0,37.0,7.0,0.0,172.0,0.0,양식,1.0,33.0,0.0,13.0,,0.0,,0.0,0.0,0.0,,0.0,55.0,0.0,0.0,0.0,1122.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,긴자료코 숙대점,227.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,13.0,57.0,6.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,,0.0,4.0,0.0,0.0,461.0,0.0,0.0,753.0,2.0,돈가스,0.0,25.0,1.0,131.0,,0.0,,4.0,0.0,0.0,,2.0,192.0,0.0,0.0,0.0,4806.0,5.0,129.0,1.0,0.0,0.0,329.0,0.0,3.0,0.0
40,홍곱창 숙명여대점,65.0,0.0,13.0,0.0,20.0,0.0,0.0,0.0,13.0,41.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,58.0,0.0,0.0,346.0,2.0,"곱창,막창,양",0.0,2.0,6.0,29.0,,1.0,,0.0,8.0,0.0,,0.0,110.0,0.0,0.0,0.0,1738.0,14.0,83.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0
41,이자와 숙대점,9.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,11.0,18.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,19.0,0.0,0.0,149.0,1.0,일식당,0.0,7.0,0.0,30.0,,0.0,,3.0,0.0,0.0,,1.0,47.0,0.0,0.0,0.0,884.0,7.0,34.0,0.0,0.0,0.0,48.0,0.0,1.0,1.0
42,타코비 숙명여대점,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,163.0,2.0,일식당,0.0,2.0,0.0,30.0,,0.0,,2.0,3.0,0.0,,0.0,78.0,0.0,0.0,0.0,860.0,6.0,30.0,3.0,0.0,0.0,9.0,0.0,2.0,0.0
44,비일,33.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,34.0,0.0,0.0,192.0,2.0,양식,0.0,34.0,0.0,46.0,,0.0,,1.0,0.0,0.0,,2.0,89.0,0.0,0.0,0.0,1290.0,33.0,84.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0
45,베나레스 숙대점,508.0,33.0,0.0,0.0,80.0,0.0,0.0,0.0,476.0,145.0,108.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,,0.0,34.0,2.0,2.0,477.0,2.0,0.0,1188.0,21.0,인도음식,0.0,129.0,0.0,291.0,,4.0,,5.0,0.0,0.0,,26.0,294.0,0.0,0.0,3.0,8962.0,21.0,86.0,0.0,66.0,243.0,161.0,0.0,15.0,0.0
46,샤브로21 숙명여대,288.0,107.0,5.0,0.0,3.0,4.0,0.0,1.0,50.0,168.0,59.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,,1.0,68.0,0.0,1.0,70.0,0.0,1.0,688.0,8.0,샤브샤브,0.0,299.0,0.0,522.0,,1.0,,0.0,0.0,2.0,,37.0,283.0,0.0,4.0,0.0,6450.0,1.0,38.0,1.0,0.0,0.0,447.0,2.0,9.0,1.0
47,나폴리키친,152.0,3.0,0.0,0.0,44.0,8.0,0.0,0.0,17.0,27.0,7.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,,0.0,12.0,1.0,0.0,85.0,0.0,0.0,333.0,3.0,피자,2.0,37.0,0.0,103.0,,1.0,,0.0,1.0,0.0,,10.0,143.0,0.0,0.0,2.0,2342.0,25.0,64.0,0.0,0.0,2.0,16.0,0.0,2.0,0.0
48,어바웃샤브 숙명여대점,89.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,31.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,69.0,0.0,0.0,232.0,1.0,샤브샤브,0.0,2.0,0.0,97.0,,1.0,,2.0,0.0,0.0,,0.0,61.0,0.0,0.0,0.0,1468.0,8.0,16.0,0.0,0.0,0.0,17.0,0.0,8.0,0.0
49,백채김치찌개 숙대입구점,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,137.0,0.0,0.0,257.0,0.0,"찌개,전골",0.0,0.0,0.0,58.0,,0.0,,0.0,0.0,0.0,,0.0,76.0,0.0,0.0,0.0,1362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,본죽&비빔밥cafe 숙대입구역점,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,81.0,0.0,0.0,246.0,0.0,죽,0.0,0.0,0.0,75.0,,0.0,,0.0,0.0,0.0,,0.0,105.0,0.0,0.0,0.0,1332.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0
51,만나칼국수,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,191.0,0.0,0.0,428.0,0.0,"칼국수,만두",0.0,0.0,0.0,170.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2212.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0
52,교촌치킨 숙대점,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,"치킨,닭강정",0.0,0.0,0.0,56.0,,0.0,,0.0,0.0,0.0,,0.0,96.0,0.0,0.0,0.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,까치네분식,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,198.0,0.0,0.0,692.0,0.0,종합분식,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,208.0,0.0,0.0,0.0,3350.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0
55,메이드바이그레이스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,샌드위치,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,72.0,35.0,0.0,0.0,668.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,버거인,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,햄버거,0.0,0.0,0.0,161.0,,0.0,,0.0,0.0,0.0,,0.0,112.0,0.0,0.0,0.0,1892.0,0.0,130.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0
57,츄르츄르라멘,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,68.0,0.0,0.0,350.0,0.0,일본식라면,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0,0.0,0.0,1692.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0
58,레이브피자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,피자,0.0,265.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,170.0,0.0,0.0,0.0,2316.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
