index,가게명,음식종류,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,양이 많아요,재료가 신선해요,특별한 메뉴가 있어요,매장이 넓어요,매장이 청결해요,인테리어가 멋져요,특별한 날 가기 좋아요,단체모임 하기 좋아요,메뉴 구성이 알차요,아늑해요,음식이 빨리 나와요,주차하기 편해요,화장실이 깨끗해요,뷰가 좋아요,음료가 맛있어요,아이와 가기 좋아요,잡내가 적어요,반려동물과 가기 좋아요,룸이 잘 되어있어요,오래 머무르기 좋아요,환기가 잘 돼요,차분한 분위기에요,코스요리가 알차요,비싼 만큼 가치있어요,반찬이 잘 나와요,대화하기 좋아요,건강한 맛이에요,음악이 좋아요,좌석이 편해요,사진이 잘 나와요,현지 맛에 가까워요,고기 질이 좋아요,샐러드바가 잘 되어있어요,혼술하기 좋아요,향신료가 강하지 않아요,야외공간이 멋져요,컨셉이 독특해요,포장이 깔끔해요,술이 다양해요,직접 잘 구워줘요,커피가 맛있어요,디저트가 맛있어요,기본 안주가 좋아요,집중하기 좋아요,빵이 맛있어요,태그 총합
16,네코노스시,"초밥,롤",369.0,241.0,159.0,132.0,194.0,177.0,88.0,12.0,49.0,121.0,11.0,9.0,55.0,30.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3420.0
17,마포구이마당 숙대직영점,돼지고기구이,145.0,65.0,25.0,61.0,44.0,14.0,14.0,38.0,13.0,2.0,2.0,25.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1008.0
18,정,중식당,640.0,117.0,68.0,186.0,98.0,123.0,217.0,49.0,49.0,13.0,23.0,51.0,4.0,2.0,13.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3404.0
19,지지고 숙명여대점,"도시락,컵밥",403.0,296.0,193.0,74.0,202.0,84.0,64.0,1.0,14.0,1.0,2.0,2.0,4.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2748.0
20,이삭토스트 숙명여대점,토스트,320.0,162.0,51.0,175.0,26.0,84.0,36.0,0.0,32.0,1.0,0.0,1.0,7.0,0.0,87.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
21,리또리또 숙대점,"멕시코,남미음식",443.0,232.0,194.0,158.0,192.0,69.0,77.0,3.0,13.0,4.0,5.0,2.0,3.0,0.0,5.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896.0
23,미스터카츠 숙대입구점,돈가스,638.0,201.0,300.0,214.0,240.0,172.0,67.0,26.0,114.0,46.0,2.0,11.0,21.0,24.0,7.0,1.0,8.0,51.0,0.0,1.0,4.0,1.0,0.0,1.0,5.0,10.0,0.0,1.0,2.0,7.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420.0
24,하마,"백반,가정식",78.0,20.0,27.0,13.0,16.0,14.0,0.0,10.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0
28,숙대소반,한식,196.0,118.0,113.0,71.0,97.0,16.0,18.0,17.0,15.0,3.0,4.0,6.0,4.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0
31,부암동치킨,"치킨,닭강정",197.0,35.0,3.0,53.0,51.0,46.0,28.0,17.0,21.0,15.0,4.0,31.0,1.0,3.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
